Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:58f4twRnbZOOVUhMUpplJ4,"Brown Munde","Brown Munde","AP Dhillon;Gminxr;Gurinder Gill;Shinda Kahlon",2020-09-18,254400,71,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:00Z,"punjabi hip hop,punjabi pop,desi,bhangra,desi hip hop","Run-up Records",0.854,0.611,8,-6.26,0,0.0864,0.223,0,0.119,0.417,100.024,4
spotify:track:7b8BHkjW0vfgT54yXp0Lvn,"Sunn Na","Sunn Na","Bali",2020-01-24,171162,49,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:24Z,"hindi hip hop,desi hip hop","Mr Bali",0.85,0.526,1,-10.047,1,0.238,0.417,0.000275,0.0913,0.377,128.983,4
spotify:track:1BjFMR7Cb8yaQyOsZBszML,"Flex","Flex","Bali;Ikka",2022-03-31,200106,35,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:29Z,"hindi hip hop,desi hip hop,bollywood,desi","Warner Music India",0.785,0.942,2,-1.532,1,0.241,0.143,0,0.182,0.931,97.988,4
spotify:track:5HPo4dz4rvFaKBdcE8Ss9l,"Feel Hai","Feel Hai","Bali;Badshah",2021-09-29,178245,31,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:32Z,"hindi hip hop,desi hip hop,bollywood,desi,hindi pop,desi pop","Sky Digital",0.868,0.752,9,-6.39,1,0.0611,0.403,0.000288,0.11,0.498,125.013,4
spotify:track:1VUILWlKpNib3uJp9pb0Xl,"Hutt Hutt","Hutt Hutt","Bali",2021-02-12,183583,41,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:36Z,"hindi hip hop,desi hip hop","Kalamkaar",0.802,0.569,1,-4.976,1,0.0703,0.279,0,0.131,0.232,105.044,4
spotify:track:0pdFx9OpCOgGsbzwOIqfTN,"Bass","Bass","Bali",2019-08-18,155006,35,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:40Z,"hindi hip hop,desi hip hop","Mr Bali",0.799,0.618,11,-4.074,0,0.159,0.0897,0,0.171,0.488,96.035,4
spotify:track:7xHG6LdShPMXeL5SllDprP,"IICONIC","The Carnival","King",2020-09-21,178339,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:27:11Z,"desi hip hop,hindi hip hop,desi pop,hindi pop,hindi indie","Kingsclan Records",0.549,0.751,6,-4.398,0,0.179,0.637,0,0.113,0.164,138.504,4
spotify:track:5vdWj5rEzg9lg5qbE98PmX,"Desi Dan Bilzerian","The Gorilla Bounce","King",2021-10-15,201379,0,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:27:20Z,"desi hip hop,hindi hip hop,desi pop,hindi pop,hindi indie","Kingsclan Records",0.718,0.489,2,-7.406,1,0.413,0.0287,0.00000939,0.058,0.582,173.915,4
spotify:track:5D0mj9w9b6PVXk4O2F5MyU,"Antidote","Antidote","Bella",2022-02-11,205125,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:27:41Z,"desi hip hop,hindi hip hop","BellaOfficials",0.852,0.544,10,-8.078,0,0.0689,0.555,0.00000233,0.0788,0.89,125.035,4
spotify:track:04oFH2XMbhGn1EjmejkJjf,"I'm on Mars","That's the God I Know","Bella",2022-03-18,201195,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:27:46Z,"desi hip hop,hindi hip hop","Indprolook",0.836,0.738,7,-6.54,0,0.0472,0.779,0,0.0947,0.866,105.016,4
spotify:track:5ic4Iyzvg5E8ZPGlGXyRcy,"Humble Poet","Humble Poet","Bella",2022-04-04,228089,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:27:57Z,"desi hip hop,hindi hip hop","Indprolook",0.82,0.495,1,-9.023,0,0.069,0.366,0,0.102,0.529,99.998,4
spotify:track:605r6rtj7kBlJwZWmYx1Dt,"WE ROLLIN","WE ROLLIN","Shubh",2021-09-17,199205,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:29:06Z,"punjabi hip hop,punjabi pop,desi hip hop,hindi hip hop,desi","Malsons-Shubh",0.816,0.503,4,-9.112,0,0.197,0.262,0.00000716,0.104,0.278,85.003,4
spotify:track:6btas8Eignhw8yKp4VJvGi,"ELEVATED","ELEVATED","Shubh",2022-03-12,200658,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:29:10Z,"punjabi hip hop,punjabi pop,desi hip hop,hindi hip hop,desi","Malsons-Shubh",0.831,0.533,6,-5.777,0,0.0897,0.212,0.0000325,0.306,0.604,93.034,4
spotify:track:5B4YQN1FCuADJ0o4phAtwC,"NO LOVE","NO LOVE","Shubh",2022-02-26,170387,0,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:29:14Z,"punjabi hip hop,punjabi pop,desi hip hop,hindi hip hop,desi","Malsons-Shubh",0.771,0.486,4,-8.952,0,0.0393,0.243,0,0.191,0.733,137.058,4
spotify:track:3z8833PfZDs3pwRLDc8mjy,"Sort Hai","Sort Hai","J Trix;Subspace",2022-03-25,151034,24,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:31:19Z,"desi hip hop,hindi hip hop,hardcore hip hop","J Trix & Subspace",0.934,0.636,4,-8.788,0,0.303,0.105,0,0.315,0.719,125.114,4
